"id","entidad_id","honorario_producto_id","honorario_id","producto_id","importe","created_at","updated_at"
"117","869","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"118","929","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"119","504","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"120","908","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"121","1018","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"122","866","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"123","917","17","5","3","250","2026-6-25 14:04:04","2026-6-25 14:04:04"
"124","873","18","6","3","550","2026-6-25 14:04:04","2026-6-25 14:04:04"
"125","782","18","6","3","550","2026-6-25 14:04:04","2026-6-25 14:04:04"
"126","1005","8","2","9","2450","2026-6-25 14:04:04","2026-6-25 14:04:04"
"127","1090","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"128","1091","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"129","1092","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"130","1023","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"131","1093","8","2","9","2450","2026-6-25 14:04:04","2026-6-25 14:04:04"
"132","902","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"133","892","7","1","9","865","2026-6-25 14:04:04","2026-6-25 14:04:04"
"134","1094","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"135","1095","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"136","1097","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"137","1098","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"138","1101","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"139","1102","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"140","1103","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"141","1104","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"142","1105","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"143","1106","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"144","1107","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"145","1108","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"146","1109","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"147","1096","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"148","1110","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
"149","928","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
"150","1111","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"151","1112","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"152","1113","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"153","1114","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"154","1115","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"155","1116","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"156","1117","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"157","1119","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"158","1120","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"159","1121","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"160","1122","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"161","959","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"162","1123","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"163","1124","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"164","1125","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"165","1126","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"166","1127","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"167","1128","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"168","939","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"169","1129","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"170","1130","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"171","1131","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"172","655","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"173","1098","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"174","1132","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"175","1133","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"176","1134","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
